Disease	Disease1	ICD-11_Code	Category
Injury of peroneal artery, unspecified	Injury of peroneal artery, unspecified	NC95.3Z	0
Injury of greater saphenous vein at lower leg level, unspecified	Injury of greater saphenous vein at lower leg level, unspecified	NC95.4Z	0
Injury of lesser saphenous vein at lower leg level, unspecified	Injury of lesser saphenous vein at lower leg level, unspecified	NC95.5Z	0
Injury of popliteal vein, unspecified	Injury of popliteal vein, unspecified	NC95.6Z	0
Injury of multiple blood vessels at lower leg level	Injury of multiple blood vessels at lower leg level	NC95.7	0
Injury of unspecified muscle, fascia, tendon or bursa at lower leg level	Injury of unspecified muscle, fascia, tendon or bursa at lower leg level	NC96.Z	0
Injury of Achilles tendon, unspecified	Injury of Achilles tendon, unspecified	NC96.0Z	0
Injury of other muscle, fascia or tendon of posterior muscle group at lower leg level, unspecified	Injury of other muscle, fascia or tendon of posterior muscle group at lower leg level, unspecified	NC96.1Z	0
Injury of muscle, fascia or tendon of anterior muscle group at lower leg level, unspecified	Injury of muscle, fascia or tendon of anterior muscle group at lower leg level, unspecified	NC96.2Z	0
Injury of muscle, fascia or tendon of peroneal muscle group at lower leg level, unspecified	Injury of muscle, fascia or tendon of peroneal muscle group at lower leg level, unspecified	NC96.3Z	0
Injury of multiple muscles, fasciae or tendons at lower leg level	Injury of multiple muscles, fasciae or tendons at lower leg level	NC96.4	0
Crushing injury of lower leg, unspecified	Crushing injury of lower leg, unspecified	NC97.Z	0
Crushing injury of knee	Crushing injury of knee	NC97.0	0
Traumatic amputation of lower leg, unspecified	Traumatic amputation of lower leg, unspecified	NC98.Z	0
Multiple injuries of lower leg	Multiple injuries of lower leg	NC99	0
Injuries to the ankle or foot, unspecified	Injuries to the ankle or foot, unspecified	ND1Z	0
Superficial injury of ankle or foot, unspecified	Superficial injury of ankle or foot, unspecified	ND11.Z	0
Contusion of ankle	Contusion of ankle	ND11.1	0
Contusion of toe	Contusion of toe	ND11.6	0
Contusion of other or unspecified parts of foot	Contusion of other or unspecified parts of foot	ND11.8	0
Multiple superficial injuries of ankle or foot	Multiple superficial injuries of ankle or foot	ND11.C	0
Open wound of ankle or foot, unspecified	Open wound of ankle or foot, unspecified	ND12.Z	0
Open wound of toe, unspecified	Open wound of toe, unspecified	ND12.6Z	0
Multiple open wounds of ankle or foot	Multiple open wounds of ankle or foot	ND12.5	0
Fracture of foot, except ankle, unspecified	Fracture of foot, except ankle, unspecified	ND13.Z	0
Fracture of calcaneus	Fracture of calcaneus	ND13.0	0
Fracture of talus	Fracture of talus	ND13.1	0
Fracture of unspecified tarsal bone	Fracture of unspecified tarsal bone	ND13.2	0
Fracture of metatarsal bone	Fracture of metatarsal bone	ND13.3	0
Fracture of great toe	Fracture of great toe	ND13.4	0
Fracture of other toe	Fracture of other toe	ND13.5	0
Multiple fractures of foot	Multiple fractures of foot	ND13.6	0
Dislocation or strain or sprain of joints or ligaments at ankle or foot level, unspecified	Dislocation or strain or sprain of joints or ligaments at ankle or foot level, unspecified	ND14.Z	0
Dislocation of ankle joint	Dislocation of ankle joint	ND14.0	0
Dislocation of great toe, unspecified	Dislocation of great toe, unspecified	ND14.1Z	0
Rupture of ligaments at ankle or foot level	Rupture of ligaments at ankle or foot level	ND14.5	0
Dislocation of other or unspecified parts of foot	Dislocation of other or unspecified parts of foot	ND14.6	0
Strain or sprain of ankle, unspecified	Strain or sprain of ankle, unspecified	ND14.7Z	0
Strain or sprain of toe	Strain or sprain of toe	ND14.8	0
Sprain of unspecified parts of foot	Sprain of unspecified parts of foot	ND14.AZ	0
Injury of unspecified nerve at ankle or foot level	Injury of unspecified nerve at ankle or foot level	ND15.Z	0
Injury of lateral plantar nerve	Injury of lateral plantar nerve	ND15.0	0
Injury of medial plantar nerve	Injury of medial plantar nerve	ND15.1	0
Injury of deep peroneal nerve at ankle or foot level	Injury of deep peroneal nerve at ankle or foot level	ND15.2	0
Injury of cutaneous sensory nerve at ankle or foot level	Injury of cutaneous sensory nerve at ankle or foot level	ND15.3	0
Injury of multiple nerves at ankle or foot level	Injury of multiple nerves at ankle or foot level	ND15.4	0
Injury of unspecified blood vessel at ankle or foot level	Injury of unspecified blood vessel at ankle or foot level	ND16.Z	0
Injury of dorsal artery of foot, unspecified	Injury of dorsal artery of foot, unspecified	ND16.0Z	0
Injury of plantar artery of foot, unspecified	Injury of plantar artery of foot, unspecified	ND16.1Z	0
Injury of dorsal vein of foot, unspecified	Injury of dorsal vein of foot, unspecified	ND16.2Z	0
Injury of multiple blood vessels at ankle or foot level	Injury of multiple blood vessels at ankle or foot level	ND16.3	0
Injury of unspecified muscle, fascia or tendon at ankle or foot level	Injury of unspecified muscle, fascia or tendon at ankle or foot level	ND17.Z	0
Injury of muscle, fascia or tendon of long flexor muscle of toe at ankle or foot level, unspecified	Injury of muscle, fascia or tendon of long flexor muscle of toe at ankle or foot level, unspecified	ND17.0Z	0
Injury of muscle, fascia or tendon of long extensor muscle of toe at ankle or foot level, unspecified	Injury of muscle, fascia or tendon of long extensor muscle of toe at ankle or foot level, unspecified	ND17.1Z	0
Injury of intrinsic muscle, fascia or tendon at ankle or foot level, unspecified	Injury of intrinsic muscle, fascia or tendon at ankle or foot level, unspecified	ND17.2Z	0
Injury of multiple muscles or tendons at ankle or foot level	Injury of multiple muscles or tendons at ankle or foot level	ND17.3	0
Crushing injury of ankle or foot, unspecified	Crushing injury of ankle or foot, unspecified	ND18.Z	0
Crushing injury of ankle	Crushing injury of ankle	ND18.0	0
Crushing injury of toe	Crushing injury of toe	ND18.1	0
Crushing injury of other parts of ankle or foot	Crushing injury of other parts of ankle or foot	ND18.2	0
Traumatic amputation of ankle or foot, unspecified	Traumatic amputation of ankle or foot, unspecified	ND19.Z	0
Traumatic amputation of right foot at ankle level	Traumatic amputation of right foot at ankle level	ND19.0	0
Traumatic amputation of one toe	Traumatic amputation of one toe	ND19.6	0
Traumatic amputation of two or more toes	Traumatic amputation of two or more toes	ND19.7	0
Traumatic amputation of other parts of foot	Traumatic amputation of other parts of foot	ND19.8	0
Multiple injuries of ankle or foot	Multiple injuries of ankle or foot	ND1A	0
Superficial injuries involving multiple body regions	Superficial injuries involving multiple body regions	ND30	0
Open wounds involving multiple body regions	Open wounds involving multiple body regions	ND31	0
Fractures involving multiple body regions	Fractures involving multiple body regions	ND32	0
Dislocations, strains or sprains involving multiple body regions	Dislocations, strains or sprains involving multiple body regions	ND33	0
Crushing injuries involving multiple body regions	Crushing injuries involving multiple body regions	ND34	0
Traumatic amputations involving multiple body regions	Traumatic amputations involving multiple body regions	ND35	0
Other injuries involving multiple body regions, not elsewhere classified	Other injuries involving multiple body regions, not elsewhere classified	ND36	0
Unspecified multiple injuries	Unspecified multiple injuries	ND37	0
Injuries to unspecified part of trunk, limb or body region, unspecified	Injuries to unspecified part of trunk, limb or body region, unspecified	ND5Z	0
Fracture of spine, level unspecified	Fracture of spine, level unspecified	ND50	0
Unspecified injuries of spine or trunk, level unspecified	Unspecified injuries of spine or trunk, level unspecified	ND51.Z	0
Dislocation or strain or sprain of unspecified joint or ligament of trunk	Dislocation or strain or sprain of unspecified joint or ligament of trunk	ND51.0	0
Injury of unspecified nerve, spinal nerve root or plexus of trunk	Injury of unspecified nerve, spinal nerve root or plexus of trunk	ND51.1	0
Injury of unspecified muscle, fascia or tendon of trunk	Injury of unspecified muscle, fascia or tendon of trunk	ND51.3	0
Fracture of arm, level unspecified	Fracture of arm, level unspecified	ND52	0
Other injuries of arm, level unspecified	Other injuries of arm, level unspecified	ND53	0
Fracture of leg, level unspecified	Fracture of leg, level unspecified	ND54	0
Other injuries of leg, level unspecified	Other injuries of leg, level unspecified	ND55	0
Unspecified injury to unspecified part of trunk, limb or body region	Unspecified injury to unspecified part of trunk, limb or body region	ND56.Z	0
Superficial injury of unspecified body region	Superficial injury of unspecified body region	ND56.0	0
Open wound of unspecified body region	Open wound of unspecified body region	ND56.1	0
Fracture of unspecified body region	Fracture of unspecified body region	ND56.2	0
Dislocation or strain or sprain of unspecified body region	Dislocation or strain or sprain of unspecified body region	ND56.3	0
Injury of nerve of unspecified body region	Injury of nerve of unspecified body region	ND56.4	0
Injury of blood vessel of unspecified body region	Injury of blood vessel of unspecified body region	ND56.5	0
Injury of muscles or tendons of unspecified body region	Injury of muscles or tendons of unspecified body region	ND56.6	0
Traumatic amputation of unspecified body region	Traumatic amputation of unspecified body region	ND56.8	0
Effects of foreign body entering through natural orifice, unspecified	Effects of foreign body entering through natural orifice, unspecified	ND7Z	0
Foreign body on external eye, unspecified	Foreign body on external eye, unspecified	ND70.Z	0
Foreign body in cornea	Foreign body in cornea	ND70.0	0
Foreign body in conjunctival sac	Foreign body in conjunctival sac	ND70.1	0
Foreign body in multiple parts of external eye	Foreign body in multiple parts of external eye	ND70.2	0
Foreign body in ear	Foreign body in ear	ND71	0
Foreign body in unspecified part of respiratory tract	Foreign body in unspecified part of respiratory tract	ND72.Z	0
Foreign body in nasal sinus	Foreign body in nasal sinus	ND72.0	0
Foreign body in nostril	Foreign body in nostril	ND72.1	0
Foreign body in pharynx, unspecified	Foreign body in pharynx, unspecified	ND72.2Z	0
Foreign body in larynx	Foreign body in larynx	ND72.3	0
Foreign body in trachea	Foreign body in trachea	ND72.4	0
Foreign body in bronchus	Foreign body in bronchus	ND72.5	0
Foreign body in multiple parts of respiratory tract	Foreign body in multiple parts of respiratory tract	ND72.6	0
Foreign body in alimentary tract, unspecified	Foreign body in alimentary tract, unspecified	ND73.Z	0
Foreign body in mouth	Foreign body in mouth	ND73.0	0
Foreign body in oesophagus	Foreign body in oesophagus	ND73.1	0
Foreign body in stomach, unspecified	Foreign body in stomach, unspecified	ND73.2Z	0
Foreign body in small intestine	Foreign body in small intestine	ND73.3	0
Foreign body in colon	Foreign body in colon	ND73.4	0
Foreign body in anus or rectum	Foreign body in anus or rectum	ND73.5	0
Foreign body in genitourinary tract, unspecified	Foreign body in genitourinary tract, unspecified	ND74.Z	0
Foreign body in urethra	Foreign body in urethra	ND74.0	0
Foreign body in bladder	Foreign body in bladder	ND74.1	0
Foreign body in vulva or vagina	Foreign body in vulva or vagina	ND74.2	0
Foreign body in uterus, any part	Foreign body in uterus, any part	ND74.3	0
Burns, unspecified	Burns, unspecified	NE2Z	0
Burns of external body surface, unspecified site	Burns of external body surface, unspecified site	ND9Z	0
Burn of head and neck except face, depth of burn unspecified	Burn of head and neck except face, depth of burn unspecified	ND90.Z	0
Burn of head or neck except face, epidermal burn	Burn of head or neck except face, epidermal burn	ND90.0	0
Burn of head and neck except face, full thickness burn	Burn of head and neck except face, full thickness burn	ND90.3	0
Burn of trunk except perineum and genitalia, depth of burn unspecified	Burn of trunk except perineum and genitalia, depth of burn unspecified	ND92.Z	0
Burn of trunk except perineum or genitalia, epidermal burn, unspecified	Burn of trunk except perineum or genitalia, epidermal burn, unspecified	ND92.0Z	0
Burn of shoulder and arm except wrist and hand, depth of burn unspecified	Burn of shoulder and arm except wrist and hand, depth of burn unspecified	ND94.Z	0
Burn of shoulder or arm, except wrist or hand, epidermal burn	Burn of shoulder or arm, except wrist or hand, epidermal burn	ND94.0	0
Burn of shoulder or arm, except wrist or hand, full thickness burn	Burn of shoulder or arm, except wrist or hand, full thickness burn	ND94.3	0
Burn of wrist and hand, depth of burn unspecified	Burn of wrist and hand, depth of burn unspecified	ND95.Z	0
Burn of wrist or hand, epidermal burn	Burn of wrist or hand, epidermal burn	ND95.0	0
Burn of wrist or hand, full thickness burn	Burn of wrist or hand, full thickness burn	ND95.3	0
